На складе (тонн),Вес 1 шт./кг.,,Цена 1 - 5 т. ,"Цена 5 - 15 т.
",Цена > 15 т. ,Филиал,Наименование,Размер,Длина,Доп. информация/ГОСТ,Категория,Длина
13.39,294.272,70625.28,240000,240000,240000,ЧЕЛЯБИНСК,Круг Ст20х2н4а,90мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,06.05
2.65,244.706,19576.48,80000,80000,80000,НОВОСИБИРСК,Круг Ст20Х,90мм.,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,4.9
2.35,268.576,17726.03,66000,66000,66000,НОВОКУЗНЕЦК,Круг Ст45,85мм,,"ГОСТ 2590-06,1050-13, 2ГП_",Круг_,06.03
10.06,267.240,17637.84,66000,66000,66000,НОВОСИБИРСК,Круг Ст45,85мм,,"ГОСТ 2590-06,1050-13, 2ГП_",Круг_,6
15.57,299.640,19776.24,66000,66000,66000,НОВОСИБИРСК,Круг Ст20,90мм.,,"ГОСТ 2590-06, 1050-13, 2ГП_",Круг_,6
2.18,301.138,19875.12,66000,66000,66000,НОВОКУЗНЕЦК,Круг Ст20,90мм.,,"ГОСТ 2590-06, 1050-13, 2ГП_",Круг_,06.03
9.39,262.786,19708.95,75000,75000,75000,НОВОСИБИРСК,Круг Ст18ХГТ,85 мм.,,"ГОСТ2590-06, 4543-16, 2ГП_",Круг_,5.9
0.12,119.813,10723.23,89500,89500,89500,НОВОСИБИРСК,Круг Ст18ХГТ,85 мм.,,"ГОСТ2590-06, 4543-16, 2ГП_",Круг_,2.69
5.52,302.137,21149.59,70000,70000,70000,НОВОКУЗНЕЦК,Круг Ст40Х,90мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,06.05
32.94,299.640,20974.80,70000,70000,70000,НОВОСИБИРСК,Круг Ст40Х,90мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,6
3.00,268.200,30306.60,113000,113000,113000,ЧЕЛЯБИНСК,Круг Ст40ХН,85мм,,"ГОСТ 2590-06,4543-16, 2ГП_",Круг_,6
2.16,224.927,31489.78,140000,140000,140000,НОВОСИБИРСК,Круг Ст40ХН,85мм,,"ГОСТ 2590-06,4543-16, 2ГП_",Круг_,05.05
17.70,239.522,15808.47,66000,66000,66000,НОВОКУЗНЕЦК,Круг Ст45,80мм,,"ГОСТ 2590-06,1050-13 2ГП_",Круг_,06.07
33.61,236.760,15626.16,66000,66000,66000,НОВОСИБИРСК,Круг Ст45,80мм,,"ГОСТ 2590-06,1050-13 2ГП_",Круг_,6
4.91,262.786,36790.04,140000,140000,140000,ЧЕЛЯБИНСК,Круг Ст40ХН2МА,85мм,,"ГОСТ 2590-06,4543-16, 2ГП_",Круг_,5.9
2.26,301.638,27268.04,90400,90400,90400,НОВОКУЗНЕЦК,Круг Ст30ХГСА,90мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,06.04
34.71,299.640,27087.46,90400,90400,90400,НОВОСИБИРСК,Круг Ст30ХГСА,90мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,6
17.34,299.640,19776.24,66000,66000,66000,НОВОСИБИРСК,Круг Ст3,90мм,,"ГОСТ 2590-06, 535-05, 2ГП_",Круг_,6
4.43,302.137,19941.04,66000,66000,66000,НОВОКУЗНЕЦК,Круг Ст3,90мм,,"ГОСТ 2590-06, 535-05, 2ГП_",Круг_,06.05
1.78,238.338,15730.33,66000,66000,66000,НОВОКУЗНЕЦК,Круг Ст3,80мм,,"ГОСТ 2590-06, 535-05, 2ГП_",Круг_,06.04
12.36,237.198,15655.07,66000,66000,66000,НОВОСИБИРСК,Круг Ст3,80мм,,"ГОСТ 2590-06, 535-05, 2ГП_",Круг_,6
12.33,267.240,18706.80,70000,70000,70000,НОВОСИБИРСК,Круг Ст40Х,85мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,6
5.39,268.576,18800.33,70000,70000,70000,НОВОКУЗНЕЦК,Круг Ст40Х,85мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,06.03
2.49,299.640,68317.92,228000,228000,228000,ЧЕЛЯБИНСК,Круг Ст20хн3а,90мм,,"ГОСТ 2590-06,4543-16, 2ГП_",Круг_,6
6.26,239.712,57530.88,240000,240000,240000,НОВОСИБИРСК,Круг Ст20хн3а,90мм,,"ГОСТ 2590-06,4543-16, 2ГП_",Круг_,4.8
5.80,239.917,15834.51,66000,66000,66000,НОВОКУЗНЕЦК,Круг Ст20,80мм,,"ГОСТ 2590-06,1050-13, 2ГП_",Круг_,06.08
2.68,236.760,37881.60,160000,160000,160000,ПЕРМЬ,Круг Ст40ХН2МА,80мм,,"ГОСТ 2590-06, 4543-16,2ГП,БМЗ_",Круг_,6
02.07,236.760,37881.60,160000,160000,160000,НОВОСИБИРСК,Круг Ст40ХН2МА,80мм,,"ГОСТ 2590-06, 4543-16,2ГП,БМЗ_",Круг_,6
3.33,232.814,32593.96,140000,140000,140000,ЧЕЛЯБИНСК,Круг Ст40ХН2МА,80мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,5.9
0.87,207.165,29624.59,143000,143000,143000,ПЕРМЬ,Круг Ст40ХН2МА,80мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,5.25
3.86,224.922,35987.52,160000,160000,160000,НОВОСИБИРСК,Круг Ст40ХН2МА,80мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,5.7
2.46,237.944,15704.29,66000,66000,66000,НОВОКУЗНЕЦК,Круг Ст35,80мм.,,"ГОСТ 2590-06,1050-13, 2ГП_",Круг_,06.03
10.29,236.760,15626.16,66000,66000,66000,НОВОСИБИРСК,Круг Ст35,80мм.,,"ГОСТ 2590-06,1050-13, 2ГП_",Круг_,6
6.17,336.622,38038.29,113000,113000,113000,ЧЕЛЯБИНСК,Круг Ст40ХН,95мм,,"ГОСТ2590-06, 4543-16, 2ГП_",Круг_,06.05
13.04,333.840,23368.80,70000,70000,70000,НОВОСИБИРСК,Круг Ст40Х,95мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,6
4.60,333.840,23368.80,70000,70000,70000,НОВОКУЗНЕЦК,Круг Ст40Х,95мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,6
4.67,267.000,17622.00,66000,66000,66000,НОВОСИБИРСК,Круг Ст20,85мм,,"ГОСТ 2590-06,1050-13, 2ГП_",Круг_,6
4.48,302.137,19941.04,66000,66000,66000,НОВОКУЗНЕЦК,Круг Ст45,90мм,,"ГОСТ 2590-06,1050-13, 2ГП_",Круг_,06.05
43.18,299.640,19776.24,66000,66000,66000,НОВОСИБИРСК,Круг Ст45,90мм,,"ГОСТ 2590-06,1050-13, 2ГП_",Круг_,6
4.72,238.733,26976.83,113000,113000,113000,ЧЕЛЯБИНСК,Круг Ст40ХН,80мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,06.05
3.19,236.415,56739.67,240000,240000,240000,НОВОСИБИРСК,Круг Ст20хн3а,80 мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,5.96
31.26,236.369,50819.36,215000,215000,215000,ЧЕЛЯБИНСК,Круг Ст20х2н4а,80 мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,6.15
0.01,6.500,247.00,38000,38000,38000,НОВОСИБИРСК,Круг ст40Х,90мм.,скидка,"ГОСТ 2590, 4543-16,2ГП_",Круг_,0.13
2.66,217.030,17362.40,80000,80000,80000,НОВОСИБИРСК,Круг Ст20Х,80мм.,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,5.5
4.58,302.137,42299.18,140000,140000,140000,НОВОСИБИРСК,Круг Ст40ХН,90мм,,"ГОСТ 2590-06,4543-16, 2ГП_",Круг_,06.05
3.23,299.640,33859.32,113000,113000,113000,ЧЕЛЯБИНСК,Круг Ст40ХН,90мм,,"ГОСТ 2590-06,4543-16, 2ГП_",Круг_,6
2.71,229.724,36755.84,160000,160000,160000,НОВОСИБИРСК,Круг Ст40ХН2МА,90мм,,"ГОСТ 2590-06,4543-16, 2ГП_",Круг_,4.6
0.00,4.899,172.95,35300,35300,35300,НОВОСИБИРСК,Круг Ст35,085мм.,скидка,"ГОСТ 2590-06,1050-13, 2ГП_",Круг_,0.11
13.92,267.240,17637.84,66000,66000,66000,НОВОСИБИРСК,Круг Ст35,85мм.,,"ГОСТ 2590-06,1050-13, 2ГП_",Круг_,6
2.99,219.736,30763.04,140000,140000,140000,ЧЕЛЯБИНСК,Круг Ст40ХН2МА,90мм,,"ГОСТ 2590-06,4543-16, 2ГП_",Круг_,4.4
0.30,304.634,48741.44,160000,160000,160000,ПЕРМЬ,Круг Ст40ХН2МА,90мм,,"ГОСТ 2590-06, 4543-16,2ГП,БМЗ_",Круг_,6.1
0.01,15.023,495.75,33000,33000,33000,НОВОСИБИРСК,Круг Ст45,95мм.,скидка,"ГОСТ 2590-06,1050-13, 2ГП_",Круг_,0.27
4.10,333.840,22033.44,66000,66000,66000,НОВОСИБИРСК,Круг Ст45,95мм.,,"ГОСТ 2590-06,1050-13, 2ГП_",Круг_,6
1.56,335.509,22143.61,66000,66000,66000,НОВОКУЗНЕЦК,Круг Ст45,95мм.,,"ГОСТ 2590-06,1050-13, 2ГП_",Круг_,06.03
10.02,236.760,15626.16,66000,66000,66000,НОВОСИБИРСК,Круг Ст20,80мм,,"ГОСТ 2590-06,1050-13, 2ГП_",Круг_,6
2.82,1430.396,214559.40,150000,150000,150000,НОВОСИБИРСК,Круг Ст40ХН,200мм,,"ГОСТ2590-2006, 4543-16, 2ГП_",Круг_,5.8
3.71,762.977,99187.04,130000,130000,130000,ЧЕЛЯБИНСК,Круг Ст40ХН,200мм,,"ГОСТ 2590-06, 4543-16, 3ГП_",Круг_,3.15
6.00,789.184,118377.60,150000,150000,150000,НОВОСИБИРСК,Круг Ст40ХН,200мм,,"ГОСТ 2590-06, 4543-16, 3ГП_",Круг_,3.2
31.30,752.191,63184.04,84000,84000,84000,НОВОСИБИРСК,Круг Ст40Х,200мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,03.05
0.02,24.662,1011.14,41000,41000,41000,НОВОСИБИРСК,Круг Ст40Х,200мм,скидка,"ГОСТ 2590-06, 4543-16, 3ГП_",Круг_,0.1
29.68,764.522,64219.85,84000,84000,84000,НОВОСИБИРСК,Круг Ст40Х,200мм,,"ГОСТ 2590-06, 4543-16, 3ГП_",Круг_,3.1
6.11,1168.979,98194.22,84000,84000,84000,НОВОКУЗНЕЦК,Круг Ст40Х,200мм,,"ГОСТ 2590-06, 4543-16, 3ГП_",Круг_,4.74
2.82,1405.734,108241.52,77000,77000,77000,НОВОСИБИРСК,Круг Ст35,200 мм,,"ГОСТ 2590-06,1050-13, 2ГП_",Круг_,5.7
15.51,715.198,55070.25,77000,77000,77000,НОВОСИБИРСК,Круг Ст35,200мм,,"ГОСТ 2590-06, 1050-13, 3ГП_",Круг_,2.9
2.62,774.387,59627.78,77000,77000,77000,НОВОКУЗНЕЦК,Круг Ст35,200мм,,"ГОСТ 2590-06, 1050-13, 3ГП_",Круг_,3.14
0.16,165.235,16655.73,100800,100800,100800,НОВОСИБИРСК,Круг Ст30ХГСА,200 мм,,"ГОСТ 2590-06,4543-16, 2ГП_",Круг_,0.67
13.63,764.522,77063.82,100800,100800,100800,НОВОСИБИРСК,Круг Ст30ХГСА,200 мм,,"ГОСТ 2590-06,4543-16, 3ГП_",Круг_,3.1
16.10,789.184,60767.17,77000,77000,77000,НОВОСИБИРСК,Круг Ст3,200мм,,"ГОСТ 2590-06, 535-05, 3ГП_",Круг_,3.2
10.71,14.869,1040.86,70000,70000,70000,НОВОКУЗНЕЦК,Круг Ст09Г2С,20 мм,,"ГОСТ 2590-06, 19281-14, 2ГП_",Круг_,06.02
20.67,813.846,62666.14,77000,77000,77000,НОВОСИБИРСК,Круг Ст45,200мм.,,"ГОСТ 2590-06,1050-13 2ГП_",Круг_,3.3
50.48,887.832,68363.06,77000,77000,77000,НОВОСИБИРСК,Круг Ст45,200мм.,,"ГОСТ 2590-06,1050-13, 3ГП_",Круг_,3.6
8.41,1144.317,88112.39,77000,77000,77000,НОВОКУЗНЕЦК,Круг Ст45,200мм.,,"ГОСТ 2590-06,1050-13, 3ГП_",Круг_,4.64
9.18,786.718,114074.08,145000,145000,145000,ЧЕЛЯБИНСК,Круг Ст40ХН2МА,200мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,3.19
0.11,510.503,78107.02,153000,153000,153000,ПЕРМЬ,Круг Ст40ХН2МА,200мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,02.07
3.24,1430.396,243167.32,170000,170000,170000,НОВОСИБИРСК,Круг Ст40ХН2МА,200мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,5.8
1.63,690.536,105652.01,153000,153000,153000,ПЕРМЬ,Круг Ст40ХН2МА,200мм,,"ГОСТ 2590-06, 4543-16, 3ГП_",Круг_,2.8
0.04,17.263,1329.28,77000,77000,77000,НОВОСИБИРСК,Круг Ст20,200мм.,скидка,"ГОСТ 2590-06,1050-13, 3ГП_",Круг_,0.07
16.95,813.846,62666.14,77000,77000,77000,НОВОСИБИРСК,Круг Ст20,200мм.,,"ГОСТ 2590-06,1050-13, 3ГП_",Круг_,3.3
2.27,947.021,72920.60,77000,77000,77000,НОВОКУЗНЕЦК,Круг Ст20,200мм.,,"ГОСТ 2590-06,1050-13, 3ГП_",Круг_,3.84
6.21,813.846,62666.14,77000,77000,77000,НОВОСИБИРСК,Круг Ст20,200мм.,,"ГОСТ 2590-06,1050-13 2ГП_",Круг_,3.3
6.78,752.191,63936.23,85000,85000,85000,НОВОСИБИРСК,Круг Ст18ХГТ,200 мм.,,"ГОСТ 2590-06, 4543-16, 3ГП_",Круг_,03.05
4.85,762.056,64774.74,85000,85000,85000,НОВОСИБИРСК,Круг Ст18ХГТ,200 мм.,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,03.09
2.59,1429.642,343114.08,240000,240000,240000,НОВОСИБИРСК,Круг Ст12хн3а,200 мм,,"ГОСТ 2590-06, 4543-16, 3ГП_",Круг_,5.8
10.87,1430.396,141609.20,99000,99000,99000,НОВОСИБИРСК,Круг Ст09Г2С,200мм.,,"ГОСТ 2590-06, 19281-14, 3ГП_",Круг_,5.8
7.76,1224.135,94258.39,77000,77000,77000,НОВОСИБИРСК,Круг Ст45,190мм.,,"ГОСТ 2590-06,1050-13 2ГП_",Круг_,5.5
5.42,1219.684,93915.64,77000,77000,77000,НОВОКУЗНЕЦК,Круг Ст45,190мм.,,"ГОСТ 2590-06,1050-13 2ГП_",Круг_,5.48
0.09,88.884,7555.13,85000,85000,85000,НОВОСИБИРСК,Круг Ст40ХН2МА,190мм.,скидка,А_,Круг_,0.41
11.94,1102.391,84884.14,77000,77000,77000,НОВОКУЗНЕЦК,Круг Ст3,200мм,,"ГОСТ 2590-06, 535-05, 3ГП_",Круг_,4.47
2.83,751.794,105251.23,140000,140000,140000,НОВОСИБИРСК,Круг Ст25ХГТ,200мм,,"ГОСТ 2590-06, 4543-16, 3ГП_",Круг_,03.05
0.18,182.403,14592.21,80000,80000,80000,НОВОСИБИРСК,Круг Ст25ХГТ,200мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,0.74
2.53,749.725,170937.25,228000,228000,228000,ЧЕЛЯБИНСК,Круг Ст20хн3а,200 мм,,"ГОСТ 2590-06, 4543-16, 3ГП_",Круг_,03.04
5.10,1368.741,328497.84,240000,240000,240000,НОВОСИБИРСК,Круг Ст20хн3а,200 мм,,"ГОСТ 2590-06, 4543-16, 3ГП_",Круг_,5.55
4.51,1388.414,347103.45,250000,250000,250000,ЧЕЛЯБИНСК,Круг Ст20х2н4а,200 мм,,"ГОСТ 2590-06, 4543-16, 3ГП_",Круг_,5.78
1.37,1431.459,357864.80,250000,250000,250000,ЧЕЛЯБИНСК,Круг Ст20х2н4а,200 мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,5.59
0.93,609.151,51168.72,84000,84000,84000,НОВОСИБИРСК,Круг Ст20Х,200мм.,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,2.47
6.11,1425.464,119738.94,84000,84000,84000,НОВОСИБИРСК,Круг Ст20Х,200мм.,,"ГОСТ 2590-06, 4543-16, 3ГП_",Круг_,5.78
13.39,1408.390,118304.78,84000,84000,84000,НОВОКУЗНЕЦК,Круг Ст40Х,210мм,,"ГОСТ 2590-06, 4543-16, 3ГП_",Круг_,5.18
3.23,666.130,51292.05,77000,77000,77000,НОВОСИБИРСК,Круг Ст35,210мм.,,"ГОСТ 2590-06,1050-13, 3ГП_",Круг_,2.45
5.74,761.300,76739.08,100800,100800,100800,НОВОСИБИРСК,Круг Ст30ХГСА,210мм,,"ГОСТ 2590-06,4543-16, 3ГП_",Круг_,2.8
12.76,1413.828,108864.76,77000,77000,77000,НОВОСИБИРСК,Круг Ст3,210мм,,"ГОСТ 2590-06, 535-05, 3ГП_",Круг_,5.2
2.85,1237.099,95256.66,77000,77000,77000,НОВОКУЗНЕЦК,Круг Ст3,210мм,,"ГОСТ 2590-06, 535-05, 3ГП_",Круг_,4.55
1.38,741.891,59351.29,80000,80000,80000,НОВОСИБИРСК,Круг Ст25ХГТ,210 мм.,,"ГОСТ 2590-88,4543-16_",Круг_,2.73
4.19,1350.684,337671.00,250000,250000,250000,ЧЕЛЯБИНСК,Круг Ст20х2н4а,210 мм,,"ГОСТ 2590-06, 4543-16, 3ГП_",Круг_,5.1
2.76,1411.028,352756.95,250000,250000,250000,ЧЕЛЯБИНСК,Круг Ст20х2н4а,210 мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,5.23
1.58,1503.552,126298.34,84000,84000,84000,НОВОСИБИРСК,Круг Ст20Х,210мм.,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,5.53
12.01,834.702,127709.45,153000,153000,153000,ПЕРМЬ,Круг Ст40ХН2МА,210мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,03.07
04.01,1373.044,233417.56,170000,170000,170000,НОВОСИБИРСК,Круг Ст40ХН2МА,210мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,05.05
2.91,831.983,133117.34,160000,160000,160000,ЧЕЛЯБИНСК,Круг Ст40ХН2МА,210мм,,"ГОСТ 2590-06, 4543-16, 3ГП_",Круг_,03.06
0.70,1413.828,216315.68,153000,153000,153000,ПЕРМЬ,Круг Ст40ХН2МА,210мм,,"ГОСТ 2590-06, 4543-16, 3ГП_",Круг_,5.2
6.35,1413.828,183797.64,130000,130000,130000,ЧЕЛЯБИНСК,Круг Ст40ХН,210мм,,"ГОСТ2590-06, 4543-16, 3ГП_",Круг_,5.2
18.80,788.481,66232.40,84000,84000,84000,НОВОСИБИРСК,Круг Ст40Х,210мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,2.9
1.51,753.135,63263.37,84000,84000,84000,НОВОКУЗНЕЦК,Круг Ст40Х,210мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,2.77
41.58,1419.266,119218.33,84000,84000,84000,НОВОСИБИРСК,Круг Ст40Х,210мм,,"ГОСТ 2590-06, 4543-16, 3ГП_",Круг_,5.22
13.74,14.820,1037.40,70000,70000,70000,НОВОСИБИРСК,Круг Ст40Х,20мм.,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,6
5.95,14.869,1040.86,70000,70000,70000,НОВОКУЗНЕЦК,Круг Ст40Х,20мм.,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,06.02
10.63,14.820,978.12,66000,66000,66000,НОВОСИБИРСК,Круг Ст35,20мм.,,"ГОСТ 2590-06,1050-13 2ГП_",Круг_,6
5.53,14.943,986.27,66000,66000,66000,НОВОКУЗНЕЦК,Круг Ст35,20мм.,,"ГОСТ 2590-06,1050-13 2ГП_",Круг_,06.05
20.49,14.820,1081.86,73000,73000,73000,НОВОСИБИРСК,Круг Ст30ХГСА,20мм,,"ГОСТ 2590-06,4543-16, 2ГП_",Круг_,6
24.36,14.820,978.12,66000,66000,66000,НОВОСИБИРСК,Круг Ст3,20мм,,"ГОСТ 2590-06, 535-05, 2ГП_",Круг_,6
5.71,14.943,986.27,66000,66000,66000,НОВОКУЗНЕЦК,Круг Ст3,20мм,,"ГОСТ 2590-06, 535-05, 2ГП_",Круг_,06.05
0.16,11.609,2786.16,240000,240000,240000,НОВОСИБИРСК,Круг Ст20хн3а,20 мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,4.7
10.32,14.820,978.12,66000,66000,66000,НОВОСИБИРСК,Круг Ст20,20мм,,"ГОСТ 2590-06,1050-13, 2ГП_",Круг_,6
2.90,14.943,986.27,66000,66000,66000,НОВОКУЗНЕЦК,Круг Ст20,20мм,,"ГОСТ 2590-06,1050-13, 2ГП_",Круг_,06.05
2.85,12.005,1150.08,95800,95800,95800,НОВОСИБИРСК,Круг Ст18ХГТ,20 мм.,,"ГОСТ 2590,4543-71",Круг_,4.9
35.61,14.820,1037.40,70000,70000,70000,НОВОСИБИРСК,Круг Ст09Г2С,20 мм,,"ГОСТ 2590-06, 19281-14, 2ГП_",Круг_,6
4.40,1522.584,127897.06,84000,84000,84000,НОВОСИБИРСК,Круг Ст20Х,210мм.,,"ГОСТ 2590-06, 4543-16, 3ГП_",Круг_,5.6
13.17,1101.154,84788.90,77000,77000,77000,НОВОСИБИРСК,Круг Ст20,210мм.,,"ГОСТ 2590-06,1050-13, 3ГП_",Круг_,04.05
2.40,1267.007,97559.57,77000,77000,77000,НОВОСИБИРСК,Круг Ст20,210мм.,,"ГОСТ 2590-06, 1050-13, 2ГП_",Круг_,4.66
2.25,804.803,80480.33,100000,100000,100000,НОВОСИБИРСК,Круг Ст18ХГТ,210 мм.,,"ГОСТ 2590-06, 4543-16, 3ГП_",Круг_,2.96
3.49,1366.928,328062.62,240000,240000,240000,НОВОСИБИРСК,Круг Ст12хн3а,210 мм,,"ГОСТ 2590-06, 4543-16, 3ГП_",Круг_,05.03
3.39,1098.436,108745.12,99000,99000,99000,НОВОСИБИРСК,Круг Ст09Г2С,210мм.,,"ГОСТ 2590-06, 19281-14, 3ГП_",Круг_,04.04
3.26,1087.560,107668.44,99000,99000,99000,НОВОСИБИРСК,Круг Ст09Г2С,210мм.,,"ГОСТ 2590-06, 19281-14,2ГП_",Круг_,4
20.75,14.796,976.54,66000,66000,66000,НОВОСИБИРСК,Круг Ст45,20мм.,,"ГОСТ 2590-06,1050-13, 2ГП_",Круг_,6
6.62,14.845,979.79,66000,66000,66000,НОВОКУЗНЕЦК,Круг Ст45,20мм.,,"ГОСТ 2590-06,1050-13, 2ГП_",Круг_,06.02
1.44,14.675,2127.87,145000,145000,145000,ЧЕЛЯБИНСК,Круг Ст40ХН2МА,20мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,5.87
1.00,11.760,1470.00,125000,125000,125000,ЧЕЛЯБИНСК,Круг Ст40ХН,20мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,4.9
08.06,1210.546,169476.38,140000,140000,140000,НОВОСИБИРСК,Круг Ст40ХН,180мм,,"ГОСТ 2590-06, 4543-16, 3ГП_",Круг_,06.06
32.35,1198.560,83899.20,70000,70000,70000,НОВОСИБИРСК,Круг Ст40Х,180мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,6
29.06,1198.560,83899.20,70000,70000,70000,НОВОСИБИРСК,Круг Ст40Х,180мм,,"ГОСТ 2590-06, 4543-16, 3ГП_",Круг_,6
7.92,1138.621,75148.96,66000,66000,66000,НОВОСИБИРСК,Круг Ст35,180мм,,ГОСТ 2590-06,Круг_,5.7
8.64,1208.536,79763.37,66000,66000,66000,НОВОСИБИРСК,Круг Ст35,180мм,,"ГОСТ 2590-06,1050-13, 2ГП_",Круг_,06.05
17.96,1198.548,79104.17,66000,66000,66000,НОВОСИБИРСК,Круг Ст35,180мм.,,"ГОСТ 2590-06, 1050-13, 3ГП_",Круг_,6
7.44,1208.548,111428.13,92200,92200,92200,НОВОСИБИРСК,Круг Ст30ХГСА,180 мм,,"ГОСТ 2590-06,4543-16, 3ГП_",Круг_,06.05
12.02,1198.560,110507.23,92200,92200,92200,НОВОСИБИРСК,Круг Ст30ХГСА,180 мм,,"ГОСТ 2590-06,4543-16, 2ГП_",Круг_,6
10.44,1198.560,79104.96,66000,66000,66000,НОВОСИБИРСК,Круг Ст3,180мм,,"ГОСТ 2590-06, 535-05, 3ГП_",Круг_,6
5.13,954.375,76349.98,80000,80000,80000,НОВОСИБИРСК,Круг Ст25ХГТ,180 мм.,,"ГОСТ 2590-06,4543-16, 3ГП_",Круг_,4.78
1.16,686.830,54946.43,80000,80000,80000,НОВОСИБИРСК,Круг Ст25ХГТ,180 мм.,,"ГОСТ 2590-06,4543-16, 2ГП_",Круг_,3.44
2.94,998.800,227726.40,228000,228000,228000,ЧЕЛЯБИНСК,Круг Ст20хн3а,180 мм,,"ГОСТ 2590-06, 4543-16, 3ГП_",Круг_,5
9.77,998.800,239712.00,240000,240000,240000,НОВОСИБИРСК,Круг Ст20хн3а,180 мм,,"ГОСТ 2590-06, 4543-16, 3ГП_",Круг_,5
2.73,1212.543,80027.85,66000,66000,66000,НОВОСИБИРСК,Круг Ст45,180мм.,,"ГОСТ 2590-06,1050-13, 3ГП_",Круг_,06.07
6.73,1210.546,79896.01,66000,66000,66000,НОВОКУЗНЕЦК,Круг Ст45,180мм.,,"ГОСТ 2590-06,1050-13, 3ГП_",Круг_,06.06
3.83,597.999,86709.85,145000,145000,145000,ЧЕЛЯБИНСК,Круг Ст40ХН2МА,180мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,3
3.24,611.266,93523.64,153000,153000,153000,ПЕРМЬ,Круг Ст40ХН2МА,180мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,03.06
5.41,904.913,153835.18,170000,170000,170000,НОВОСИБИРСК,Круг Ст40ХН2МА,180мм,,"ГОСТ 2590-06, 4543-16, 2ГП_",Круг_,4.53
4.78,1202.555,168357.73,140000,140000,140000,НОВОСИБИРСК,Круг Ст40ХН,180мм,,"ГОСТ2590-06, 4543-16, 2ГП_",Круг_,06.02
5.40,840.000,94920.00,113000,113000,113000,ЧЕЛЯБИНСК,Круг Ст40ХН,180мм,,"ГОСТ 2590-06, 4543-16, 3ГП_",Круг_,4.2
11.16,1198.560,83899.20,70000,70000,70000,НОВОСИБИРСК,Круг Ст09Г2С,180мм.,,"ГОСТ 2590-06, 19281-14, 3ГП_",Круг_,6
0.02,12.460,439.84,35300,35300,35300,НОВОСИБИРСК,Круг ст45,170мм.,скидка,"ГОСТ 2590, 1050,3ГП_",Круг_,0.07
0.03,0.000,0.00,35300,35300,35300,НОВОСИБИРСК,Круг ст45,170мм.,скидка,"ГОСТ 2590, 1050,2ГП_",Круг_,0
7.49,1076.207,71029.68,66000,66000,66000,НОВОСИБИРСК,Круг Ст45,170мм.,,"ГОСТ 2590-06,1050-13, 2ГП_",Круг_,06.04
6.57,1069.080,70559.28,66000,66000,66000,НОВОСИБИРСК,Круг Ст45,170мм.,,"ГОСТ 2590-06,1050-13, 3ГП_",Круг_,6
4.40,1070.862,70676.88,66000,66000,66000,НОВОКУЗНЕЦК,Круг Ст45,170мм.,,"ГОСТ 2590-06,1050-13, 3ГП_",Круг_,06.01
0.71,719.480,122311.53,170000,170000,170000,НОВОСИБИРСК,Круг Ст40ХН2МА,170мм,,"ГОСТ 2590-06, 4543-16, 3ГП_",Круг_,04.04
